mountain 山
match 比赛
farm 农场
swim 游泳
strong 强壮的
some 一些
thursday 星期四
let 让
glasses 眼镜
please 请
problem 问题
young 年轻
neck 脖子
but 但是
football 足球
myself 我自己
cry 哭
lunch 午餐
supper 晚餐
monday 周一
hill 小山
ride 骑
modern 现代的
smart 聪明的、灵巧的
those 那些
stop 停止
ago 之前
hold 拿住
number 数字
twelve 十二
animal 动物
rat 老鼠
decide 决定
order 顺序
choose 选择
start 开始
tie 领带
visitor 访问者
world 世界
show 展示
worker 工人
stamp 油票
collect 收集
ox 公牛
singer 歌手
stage 舞台
dress 服饰
sing 唱歌
like 喜欢
colour 颜色
clothes 衣服
hobby 爱好
tiger 老虎
see 看见
angry 生气
hotel 旅馆
west 西
around 在..周围
many 许多
horse 马
history 历史
chocolate 巧克力
summer 夏天
parent 父母
stay 停留、呆
museum 博物馆
cousin 堂兄弟姐妹
vacation 假期
interesting 有趣的
story 故事
climb 爬
finish 完成
lesson 课程
unit 单元
last 上一个
classmate 同学
again 再、又
gift 礼物
pair 一对、一双
shoes 鞋子
visit 访问
visitor 访问者、访客
next 下一个
miss 想念
sure 当然
more 更多
better 更好的
best 最好的
form 表格
lost 丢失
find 查找
fill 填充
strong 强壮
both 两个都
afternoon 下午
during 在..期间
ache 疼
happen 发生
practice 练习
because 因为
hospital 医院
finger 手指
tomorrow 明天
leg 胳膊
blood 血
doctor 医生、博士
answer 回答
scratch 抓伤
myself 我自己
yourself 你自己
herself 她自己
worry 担心
really 真的
seem 看起来
matter 关系（no-matter没关系）
broke 弄坏
offer 提供
courage 勇气
wish 希望
agree 同意
war 战争
most 大多数
fun 有趣的
plus 加
official 官员
weigh 称重
like 喜欢
dislike 不喜欢
tradition 传统
chance 机会
peace 和平
race 比赛、竞赛
hard 努力、困难、硬的
side 一边
formal 正式的、正装
form 表格
act 扮演
little 小
afraid 害怕
bowl 碗
soup 汤
pill 药片
exercise 练习
smoking 抽烟
computer 电脑
should 应该
sticky 粘的
sunny 阳光的
stay 停留
way 路、方法
interested 感兴趣
interesting 有趣的
fantastic 魔幻的
special 特别的
silk 丝绸的
difficult 困难的
comfortable 舒服的
invent 发明（动词）
invention 发明（名词）
smart 聪明
vehicle 交通工具
telephone 电话
travel 旅游
zone 区域
zip 压缩
zoo 动物园
print 打印
serious 严肃的
wonder 疑问
suit 套装
wait 等待
wear 穿着
stage 舞台
wish 心愿、希望
shoes 鞋子
fruit 水果
fresh 新鲜
ground 地面
glad 高兴的
calendar 日历
enter 进入
mean 意思、意味
order 顺序
emperor 皇帝
cycle 循环
those 那些
primary 主要的、主修的
professor 教授
pleasure 高兴的愉快的
flame 火焰
relay 接力
language 语言
whole 整个
thousand 千
ten 十
stadium 体育馆
international 国际的
certain 一定的
honour 纪念、荣耀
argument 争论
eager 渴望
dare 敢
hole 洞
torch 火炬
group 组
join 参加
together 在一起
important 重要的
celebration 庆典
try 试着、努力
heavy 重的
huge 巨大的
town 城镇
sometimes 有时候
wise 智能的,聪明的
mark 标记
finally 最终
stone 石头
loudly 大声地
aloud 大声的
military 军队
retire 退休
general 将军
famous 著名的
instead 替代
cross 错×
tick 打钩，对
sweater 毛衣
compass 指南针
ancient 古代的
sunday 礼拜天
follow 跟随
large 大的
medium 中等的
host 主办
held 举办、拿着、持有
close 关闭
bright 明亮的
blackboard 黑板
bridge 桥
medal 奖牌
gold 金、金的
silver 银的
bronze 铜的
athelete 运动员
festival 节日
sport 运动
such 如此
proud 骄傲
country 国家
nation 国家、地区
motto 格言
shame 羞耻、耻辱
fair 公平
only 只有、仅仅
both 两者都
lead 带领
leader 领导
helpful 有帮助的
kind 友好的、类型
loyal 忠诚的
wash 洗
step 步
city 城市
sentence 句子
captial 首都
event 事件
small 小的
poster 海报
trip 旅行
outdoor 户外
brave 勇敢
mind 思想、想法、意识
height 高
size 大小、尺寸
