drop 掉下
off 关、脱离、离开
either 任一的
both 两个都
neither 两者都不
than 比
but 但是
or 或者
and 和、与
with 带、关于、用、和一起
agree 同意
which 哪一个
who 谁
whose 谁的
what 什么
when 什么时候
argue 争吵
arrive 到达
ask 问
become 成为
carry 携带、搬运
bring 带来、拿来
believe 相信
dream 梦想、梦、做梦
cry 哭
change 改变、修改
collect 收集
enjoy 享受
fail 失败
feed 喂
finish 完成
forget 忘记
fight 打架、战斗
hurry 赶紧，匆忙
guess 猜测
help 帮助
know 知道
listen 听
live 生活、居住
look 看、看起来
leave 离开
enter 进入
pick 挑选、拾起来
post 投递
prefer 更喜欢
prepare 准备
put 放
return 返回
send 发送
share 分享
smell 嗅、闻起来
speak 说、讲
stay 停留、待
stop 停止
start 启动、开始
turn 旋转、变、转向
wash 洗
want 想要
wait 等待
wake 醒来
use 使用、用途
try 尝试、努力
think 思考、想、认为
worry 担心
already 已经
still 仍然
why 为什么
too 也、太
rather 宁可、宁愿
however 然后，不过、但是
away 离开
always 总是
alse 也
