look-for 寻找
shape 形状
bottle 瓶子
ground 地面
those 那些
these 这些
cup 杯子
together 一起
desk 桌子
better 更好
best 最好的
borrow 借
without 没有、缺少
matter 要紧事、事情、问题
miss 丢失、想念
hope 希望
perhaps 也许、可能
garden 花园
pretty 美好的、好的
describe 描述
choose 选择
during 在..期间
summer 夏天、夏季
vacation 假期
hobby 爱好
should 应该、将
shoulder 肩膀
huge 巨大的
spring 春天
grass 草
enjoy 享受
feed 喂
really 真的
sheep 羊
introduce 介绍
almost 几乎、差不多
born 出生
task 任务
follow 跟随
following 下面的、接下来的
guess 猜、猜测、猜想
mind 介意、头脑、思考、智慧、心智
broad 宽阔的、广阔的
erase 擦除、清除
finger 手指
several 一些、几个
eraser 橡皮擦、黑板擦
coach 教练
more 更多
match 比赛、连接
sound 听起来、声音
quite 相当的、十分的
be-good-at 擅长于干什么
professor 教授
professional 专业的
round 轮次、圆形的、环形的
environment 环境
maybe 可能、或许
litter 扔东西
roadside 马路边
bingo 好、好的（事情如愿时说）
never 从不、绝不
sure 确定的、肯定的、当然
look-around 环顾四周、看周围
public 公开的、公共的
place 地方、地点
keep 保持
tidy 干净、整洁的
save 拯救、节省、保存
always 总是
brush 刷
remember 记得、记住
mean 意思、意味
watch 观看、手表
example 例子、例如
minute 分钟
paper 纸张、纸
turn-off 关、关闭
tired 累的
thirsty 渴了的
toilet 厕所
branch 分支、树支
cute 可爱的
shout 大喊、呼喊、大声说话
scared 惊吓的、惊恐的
under 在..之下
tail 尾巴
head 头
against 反对、以防、和..相比
block 阻塞、阻挡
part 部分
tick ✅，勾
cross X,叉
agree 同意
weak 弱的、虚弱的
strong 强的、强壮的
wise 智慧的，聪明的
whole 整个的、全部的
touch 触碰、抚摸
report 报告、汇报
foolish 愚蠢的
act 扮演
character 角色、字符
order 命令、顺序
straight 直的; 直接; 径直;
remove 移除、删除
delete 删除、删掉
