water 水
worry 担心
worried 担心的
shape 形状
a-few 一些
paper 纸
wide 宽的
on-the-top-of 在顶部
cup 杯子
bottle 瓶子
borrow 借
have-fun 有乐趣
garden 公园
without 没有
kitten 小猫
perhaps 可能
look-for 寻找
grass 草
nervous 紧张的
enjoy 享受
live 生活
a-pair-of-shoes 一双鞋
as-tall-as 跟..一样高
be-good-at 擅长
have-an-idea 有个主意
buy-her-a-gift 给她买礼物
lots-of 许多
professional 专业的
during 在..期间
strong 强壮的
huge 巨大的
born 出生
tomorrow 明天
hobby 爱好
smile 微笑
coach 教练
birthday 生日
go-fishing 钓鱼
bus 公交车
protect 保护
a-good-way 一个好方法
be-careful 小心
print 打印
wait-a-minute 等一分钟
brush 刷
save 节约、拯救、保存
toilet 厕所
rich 富有的
poor 贫穷的、可怜的
oil 油
for-example 例如
land 地面
life 生活、生命
both 都
roadside 马路边
look-around 环顾四周
plastic 塑料的
turn-on 打开
turn-off 关闭
scared 害怕、惊恐的、恐惧的
clean 打扫，清洁
tidy 整洁的
lawn 草坪
keep 保持
tail 尾巴
rain 雨
summer 夏天
sick 生病的
hold-on 等等
stay 呆、停留
weather 天气
autumn 秋天
hope 希望
toothache 牙痛
cold 冷
get-all-wet 全都湿了
cinema 电影院
hiking 远足
a-runny-nose 流鼻涕
catch-a-cold 感冒
spring 春天
environment 环境
trash 垃圾
trashcan 垃圾桶
plants 植物
plane 飞机
sunlight 阳光
public 公共、公开
tired 累的
rest 休息
a-runny-nose                  流鼻涕                     
be-careful                    小心                        
birthday                      生日                        
born                          出手                        
catch-a-cold                  感冒                        
cinema                        电影院                     
lots-of                       许多                        
nervous                       紧张的                     
on-the-top-of                 在顶部                     
plastic                       塑料的                     
protect                       保护                        
roadside                      马路边                     
scared                        害怕、惊恐的、恐惧的
stay                          呆、停留                  
tidy                          整洁的                     
tomorrow                      明天                        
turn-on                       打开                        
wait-a-minute                 等一分钟                  
windy 有风的
sunny 晴朗的、晴天的
cloudy 多云的
rice 米饭
bring 带来
take 带、携带
begin 开始、起点
start 启动、开始
state 州、国家、状态
rehearsal 彩排、演习、排练
invite 邀请
popular 流行的
be-famous-for 因..而著名
go-well-with 和..搭配的很好
turn-left 向左转
host 主持人、举办
campus 校园
hundred 百
thousand 千
ask 问
answer 回答
question 问题
high 高
low 低
far 远的
near 近的
sneakers 运动鞋
traits 特征、特质、特性
website 网站
classmate 同学
club 俱乐部
gym 体育馆
nickname 昵称、外号
large 大的
small 小的
have-a-look 看一看、看一眼
ball 球
playground 操场
fans 迷、粉丝
way 路、方式
